group,subgroup,n_samples,mean_residual,std_residual,median_residual,rmse_physics,bias_direction
overall,all,56652,-0.017572487765785193,0.10562456298543835,-0.0102311792396,0.10707541128059628,wet
texture,clay_loam,14452,-0.025156232305841207,0.09458136477503848,-0.010160883700979999,0.09786649884997096,wet
texture,loam,22754,-0.024168430169812644,0.08284945502513331,-0.0284676231152884,0.08630088963720638,wet
texture,sandy_loam,2671,0.08894687451461046,0.10062160694424398,0.0699385443308853,0.13428500908245497,dry
texture,sandy,8818,0.06497037730696946,0.06620775642722926,0.0494166666666665,0.09275839495210435,dry
texture,clayey,7957,-0.11216741692355284,0.12152091971905572,-0.0850890826302135,0.16536930627086083,wet
rain,none,20444,-0.005501335667105106,0.08861999070580992,0.0009530479291083,0.08878841872534603,wet
rain,light,24466,-0.022342644527560993,0.1125801608551808,-0.0163252934694726,0.11477355246610098,wet
rain,moderate,10258,-0.029270734187657552,0.11437033567497051,-0.024639881774592448,0.11805115164201255,wet
rain,heavy,1484,-0.02436181820799694,0.12242929530482802,-0.013542391569026549,0.12478914286311386,wet
physics_state,dry_state,19666,0.043935558252072016,0.07684966557189543,0.018208958563552202,0.08852064204875038,dry
physics_state,wet_state,6512,-0.12231237138687626,0.12305441748908544,-0.09041747802652264,0.17349461245906533,wet
