feature,importance
soil_moisture_roll14d_mean,4423.391635142732
soil_moisture_roll7d_mean,1437.064315045718
soil_moisture_lag7d,420.2846331044566
soil_moisture_lag3d,336.5650982479565
soil_moisture_lag14d,288.5873528919183
depth_cm,284.34526809491217
day_of_year_sin,197.93395848805085
day_of_year_cos,177.76387875596993
temperature_2m_roll14d_mean,169.59415809251368
physics_prior_deep,132.80703295674175
soil_moisture_roll7d_std,102.008242711192
soil_moisture_roll14d_std,101.5452895485796
soil_moisture_roll3d_mean,97.00190432509407
temperature_2m_roll14d_std,78.29960204102099
temperature_2m_roll7d_mean,68.47121311165392
relative_humidity_2m_roll14d_std,61.06838896172121
soil_moisture_lag2d,59.85550185665488
relative_humidity_2m_roll14d_mean,57.970624800771475
soil_moisture_roll3d_std,43.546009256038815
precipitation_mm_roll14d_std,41.0328052949626
et0_mm_roll14d_std,36.665811146143824
physics_prior_root,35.12002847343683
days_since_rain_5mm,34.727009288966656
physics_prior_surface_lag14d,34.393269303720444
soil_moisture_lag1d,34.29047555569559
p_minus_et_cum30d,33.637907511089
et0_mm_roll14d_mean,31.652729893568903
temperature_2m,31.198712107376195
temperature_2m_roll3d_mean,27.35664379131049
soil_moisture_diff1d,23.79762078728527
physics_prior_surface_roll14d_mean,21.819703869521618
et0_mm_roll7d_std,19.951888834591955
temperature_2m_roll7d_std,18.04983616247773
physics_residual_roll30d,17.93138278927654
relative_humidity_2m_roll7d_std,17.406199544260744
physics_prior_surface_roll14d_std,14.6986023215577
soil_moisture_trend7d,14.670961344148964
precip_cum30d,14.283514408860356
physics_prior_surface_lag7d,13.854291837662458
physics_prior_surface_roll7d_mean,13.427385294809937
physics_prior_surface_roll3d_mean,11.207680435851216
physics_prior_surface_lag2d,9.749255625996739
physics_residual_roll14d,9.095309393014759
relative_humidity_2m_roll7d_mean,8.696217817720026
relative_humidity_2m,8.172282054554671
physics_prior_surface,7.9122951296158135
physics_prior_surface_lag1d,6.602353177964687
et0_cum14d,6.599162865430117
et0_mm,6.004456576425582
precipitation_mm_roll7d_std,5.941659845790127
physics_prior_surface_lag3d,5.837170337093994
et0_mm_roll3d_std,5.249633971601725
temperature_2m_roll3d_std,4.79816759377718
et0_mm_roll7d_mean,4.375747054349631
p_minus_et_cum14d,4.082616805098951
physics_prior_surface_roll7d_std,3.5529394189361483
relative_humidity_2m_roll3d_mean,3.4572115000337362
et0_mm_roll3d_mean,3.453420903533697
precipitation_mm_roll7d_mean,3.1822283193469048
precipitation_mm_roll14d_mean,2.7639031261205673
precipitation_mm,2.6839246414601803
relative_humidity_2m_roll3d_std,2.5512315928936005
precipitation_mm_roll3d_mean,2.345011407509446
physics_prior_surface_roll3d_std,2.2425857232883573
p_minus_et_cum7d,2.164312807144597
precipitation_mm_roll3d_std,2.1607071850448847
precip_cum14d,1.7089392952620983
et0_cum3d,1.55093240365386
physics_prior_surface_trend7d,1.4076590206823312
et0_cum7d,0.7269165068864822
precip_cum7d,0.6892642974853516
physics_prior_surface_diff1d,0.60021579451859
physics_residual_roll7d,0.512389799579978
precip_cum3d,0.3606679989024997
