feature,importance
soil_moisture_roll14d_mean,5549.7807361399755
soil_moisture_roll7d_mean,912.7066362285987
soil_moisture_roll3d_mean,614.9360403870232
soil_moisture_lag14d,438.0666575371288
soil_moisture_lag1d,109.73425709083676
depth_cm,102.52852489799261
days_since_rain_5mm,77.69012194685638
soil_moisture_lag3d,63.11741481907666
soil_moisture_roll14d_std,61.31539513170719
day_of_year_sin,57.66455382015556
day_of_year_cos,47.50212346063927
physics_residual_roll14d,42.869400694966316
soil_moisture_roll7d_std,42.619384293677285
soil_moisture_trend7d,34.786021031439304
temperature_2m_roll14d_mean,33.2699193446897
physics_prior_deep,30.389819003175944
soil_moisture_diff1d,30.36823301948607
physics_prior_root,29.48669903539121
temperature_2m,29.402395404409617
physics_prior_surface,25.890929319895804
physics_residual_roll30d,22.662107683718204
soil_moisture_roll3d_std,19.725548048969358
temperature_2m_roll7d_mean,18.745382202789187
et0_mm_roll14d_std,17.95005323830992
soil_moisture_lag2d,15.949114836752415
soil_moisture_lag7d,15.588637660257518
p_minus_et_cum30d,15.486224921885878
et0_mm_roll7d_std,14.879204545170069
relative_humidity_2m_roll14d_mean,14.103863954544067
temperature_2m_roll3d_mean,14.011322133243084
precip_cum30d,13.408911446109414
physics_prior_surface_trend7d,12.816484521143138
temperature_2m_roll14d_std,12.812327693216503
relative_humidity_2m_roll14d_std,11.334391789510846
physics_prior_surface_roll3d_mean,11.309498347342014
precipitation_mm_roll14d_std,9.773901619948447
precipitation_mm_roll7d_std,8.736180016770959
et0_mm_roll14d_mean,8.316194778308272
physics_prior_surface_roll7d_mean,7.823987875133753
temperature_2m_roll7d_std,6.8143711518496275
relative_humidity_2m_roll7d_std,6.456272397190332
et0_mm_roll3d_std,5.777203045785427
et0_mm,5.050635772757232
relative_humidity_2m_roll7d_mean,4.316402804106474
precipitation_mm_roll14d_mean,4.079283062368631
physics_prior_surface_roll14d_std,3.9099270328879356
physics_prior_surface_lag14d,3.5155239114537835
et0_mm_roll7d_mean,3.099580829963088
physics_residual_roll7d,2.8117071986198425
p_minus_et_cum14d,2.671903196722269
physics_prior_surface_lag1d,2.471490716561675
physics_prior_surface_roll14d_mean,2.470889875665307
relative_humidity_2m_roll3d_mean,2.4404561389237642
precipitation_mm_roll7d_mean,2.3965881327167153
physics_prior_surface_roll7d_std,2.3808444030582905
physics_prior_surface_lag3d,2.1797361858189106
p_minus_et_cum7d,1.878767006099224
physics_prior_surface_lag2d,1.7744713854044676
temperature_2m_roll3d_std,1.7656623218208551
relative_humidity_2m_roll3d_std,1.5067590083926916
et0_cum14d,1.4245278127491474
physics_prior_surface_roll3d_std,1.392792978323996
relative_humidity_2m,1.3785880878567696
physics_prior_surface_diff1d,1.1471468023955822
et0_mm_roll3d_mean,1.1211666548624635
precipitation_mm_roll3d_std,1.0716629922389984
precip_cum7d,1.0456043183803558
et0_cum7d,1.0060751996934414
et0_cum3d,0.8162849098443985
precip_cum14d,0.8058921918272972
precipitation_mm,0.7835000017657876
physics_prior_surface_lag7d,0.6512959012761712
precipitation_mm_roll3d_mean,0.4241835009306669
precip_cum3d,0.11843410134315491
